ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;VENDAS
1990;JUN;REGIÃO NORTE;RONDÔNIA;ETANOL HIDRATADO;5031,167
1990;MAI;REGIÃO NORTE;RONDÔNIA;ETANOL HIDRATADO;4078,403
1990;ABR;REGIÃO NORTE;RONDÔNIA;ETANOL HIDRATADO;5791,024
1990;MAR;REGIÃO NORTE;RONDÔNIA;ETANOL HIDRATADO;4222,571
1990;FEV;REGIÃO NORTE;RONDÔNIA;ETANOL HIDRATADO;9168,824
1990;AGO;REGIÃO NORTE;ACRE;ETANOL HIDRATADO;684,643
1990;SET;REGIÃO NORTE;ACRE;ETANOL HIDRATADO;975,116
1990;OUT;REGIÃO NORTE;ACRE;ETANOL HIDRATADO;797,041
1990;NOV;REGIÃO NORTE;ACRE;ETANOL HIDRATADO;1514,678
1990;ABR;REGIÃO NORTE;RORAIMA;ETANOL HIDRATADO;1290,234
1990;FEV;REGIÃO NORDESTE;SERGIPE;ETANOL HIDRATADO;4614,658
1990;AGO;REGIÃO NORDESTE;PARAÍBA;ETANOL HIDRATADO;8201,344
1990;ABR;REGIÃO NORTE;AMAZONAS;ETANOL HIDRATADO;6761,761
1990;MAR;REGIÃO NORDESTE;PERNAMBUCO;ETANOL HIDRATADO;23241,738
1990;JUL;REGIÃO NORDESTE;PERNAMBUCO;ETANOL HIDRATADO;29171,948
